ref,url,nome,imagem,categoria,valor_riscado,valor_boleto,desconto,n_parcelas,valor_parcela
92088,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-carneirinho-18cm-verde-4,Quadro Amiguinho Carneirinho Verde/Rosa 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92088/media_quadro-amiguinho-carneirinho-verde-rosa-20cm-207020.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92087,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-carneirinho-18cm-verde-2,Quadro Amiguinho Carneirinho Verde/Branco,https://dmhxz00kguanp.cloudfront.net/fotos/92087/media_quadro-amiguinho-carneirinho-verde-branco-20cm-278714.jpg,Quadro e Painel,57.25,47.99,0.33,11,533.0
92086,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-carneirinho-18cm-verde-3,Quadro Amiguinho Carneirinho Verde/Preto 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92086/media_quadro-amiguinho-carneirinho-verde-preto-20cm-206997.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92084,https://www.graodegente.com.br/quadros-e-paineis/quadro-floral-monet-33cm-rosa,Quadro Floral Monet 33cm ,https://dmhxz00kguanp.cloudfront.net/fotos/92084/media_quadro-floral-monet-35cm-278515.jpg,Quadro e Painel,57.25,66.99,0.16,12,688.0
92083,https://www.graodegente.com.br/quadros-e-paineis/quadro-floral-monet-25cm-rosa,Quadro Floral Monet 25cm ,https://dmhxz00kguanp.cloudfront.net/fotos/92083/media_quadro-floral-monet-25cm-278514.jpg,Quadro e Painel,57.25,66.99,0.16,12,688.0
92080,https://www.graodegente.com.br/quadros-e-paineis/quadro-coelhinha-na-chuva-floral-monet-33cm-rosa,Quadro Coelhinha na Chuva Floral Monet 33cm ,https://dmhxz00kguanp.cloudfront.net/fotos/92080/media_quadro-coelhinha-na-chuva-floral-monet-35cm-278511.jpg,Quadro e Painel,57.25,66.99,0.16,12,688.0
121484,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivo-de-parede-princesa-na-torre-rosa,"Adesivo de Parede Princesa na Torre 42,5cm",https://dmhxz00kguanp.cloudfront.net/fotos/121484/media_adesivo-de-parede-princesa-na-torre-42-5cm-273793.jpg,Adesivo,110.2,71.99,0.34,12,739.0
121483,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivo-de-parede-estrela-cadente-azul,Adesivo de Parede Estrela Cadente 31cm,https://dmhxz00kguanp.cloudfront.net/fotos/121483/media_adesivo-de-parede-estrela-cadente-31cm-273791.jpg,Adesivo,110.2,104.99,0.31,12,1078.0
121480,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivo-de-parede-amiguinha-princesa-rosa,Adesivo de Parede Amiguinha Princesa 26cm,https://dmhxz00kguanp.cloudfront.net/fotos/121480/media_adesivo-de-parede-amiguinha-princesa-26cm-273785.jpg,Adesivo,110.2,24.99,0.39,5,574.0
121478,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivo-de-parede-amiguinha-ursa-princesa-rosa,"Adesivo de Parede Amiguinha Ursa Princesa 16,5cm",https://dmhxz00kguanp.cloudfront.net/fotos/121478/media_adesivo-de-parede-amiguinha-ursa-princesa-16-5cm-273781.jpg,Adesivo,110.2,18.99,0.45,4,540.0
121477,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivo-de-parede-castelo-rosa,Adesivo de Parede Castelo 57cm,https://dmhxz00kguanp.cloudfront.net/fotos/121477/media_adesivo-de-parede-castelo-57cm-273779.jpg,Adesivo,110.2,181.99,0.26,12,1868.0
121254,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/faixa-adesiva-de-parede-nuvem-de-algodao-azul,Faixa Adesiva de Parede Nuvem de Algodão Azul,https://dmhxz00kguanp.cloudfront.net/fotos/121254/media_faixa-adesiva-de-parede-nuvem-de-algodao-azul-273218.jpg,Adesivo,110.2,19.99,0.23,4,568.0
120828,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/faixa-adesiva-de-parede-solzinho-nas-nuvens-rosa,Faixa Adesiva de Parede Solzinho nas Nuvens Rosa,https://dmhxz00kguanp.cloudfront.net/fotos/120828/media_faixa-adesiva-de-parede-solzinho-nas-nuvens-rosa-272644.jpg,Adesivo,110.2,19.99,0.21,4,568.0
120775,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/faixa-adesiva-de-parede-solzinho-nas-nuvens-amarelo,Faixa Adesiva de Parede Solzinho nas Nuvens Amarelo,https://dmhxz00kguanp.cloudfront.net/fotos/120775/media_faixa-adesiva-de-parede-solzinho-nas-nuvens-amarelo-272501.jpg,Adesivo,110.2,19.99,0.3,4,568.0
120567,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/faixa-adesiva-de-parede-amiguinhas-realeza-rosa,Faixa Adesiva de Parede Amiguinhas Realeza,https://dmhxz00kguanp.cloudfront.net/fotos/120567/media_faixa-adesiva-de-parede-amiguinhas-realeza-273426.jpg,Adesivo,110.2,19.99,0.23,4,568.0
